source_id,source_name,organization,dataset_name,url,document_name,publication_date,access_date,spatial_resolution,temporal_resolution,coverage_period,license_or_access_notes,downloaded_file,sha256,notes
SRC_NESAC_SLI_2021,North Eastern Space Applications Centre (NESAC),"Department of Space, Government of India",Seasonal Landslide Inventory for the North Eastern Indian Region (NER) - 2021,https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022,2022-02-01,2026-09-08,"1:50,000 / Sub-meter GPS & UAV",Event-level (Monsoon season 2021),2021-01-01 to 2021-12-31,"Official technical report, North Eastern Regional Node for Disaster Risk Reduction (NERDRR)",data/raw/historical_landslide_rainfall/sources/NESAC_SR_277_2022_SLI2021.pdf,ea183dab08dec88c66093d7d1db2944b6385f21571e964d8d6e56f9d82f90523,Primary authoritative catalog documenting 75 event cards with 21 casualties across 8 NER states.
SRC_NESAC_SLI_2020,North Eastern Space Applications Centre (NESAC),"Department of Space, Government of India",Seasonal Landslide Inventory for the North Eastern Indian Region (NER) - 2020,https://nerdrr.gov.in/assets/pdf/Landslide/SLI2020.pdf,NESAC-SR-261-2021,2021-07-30,2026-09-08,"1:50,000 / Sub-meter GPS & UAV",Event-level (Monsoon season 2020),2020-01-01 to 2020-12-31,"Official technical report, NERDRR",data/raw/historical_landslide_rainfall/sources/NESAC_SR_261_2021_SLI2020.pdf,7487d4f1345f05fc470b96a9e166d7870a2e40c8a786d7f930926d4ea230a9b0,Archival inventory documenting 141 landslide events and 52 casualties across NER in 2020.
SRC_CWC_TEL_AR,Central Water Commission (CWC),"Ministry of Jal Shakti, Government of India",Telemetry Hourly Rainfall - Arunachal Pradesh (2021-2025),https://ffs.india-water.gov.in/,rainfall_tel_hr_cwc_ar_2021_2025.csv,2021-2025,2026-09-08,Point (14 river telemetry hydro-met stations),Hourly,2021-01-01 to 2025-12-31,Official CWC river telemetry network,data/raw/cwc_telemetry_hourly/2021_2025/rainfall_tel_hr_cwc_ar_2021_2025.csv,d08cc797d1c79d261ee711df1e2395f898ce3bd245b7b04058317f19e6eca4f9,Includes Bhalukpong station with valid non-NaN telemetry on 2021-06-05.
SRC_CWC_TEL_AS,Central Water Commission (CWC),"Ministry of Jal Shakti, Government of India",Telemetry Hourly Rainfall - Assam (2021-2025),https://ffs.india-water.gov.in/,rainfall_tel_hr_cwc_as_2021_2025.csv,2021-2025,2026-09-08,Point (40 river telemetry hydro-met stations),Hourly,2021-01-01 to 2025-12-31,Official CWC river telemetry network,data/raw/cwc_telemetry_hourly/2021_2025/rainfall_tel_hr_cwc_as_2021_2025.csv,b0f7831b01ee0f6d167e18457286fd8dac26000ec3121153f4969659e79ad866,Contains 40 Assam stations. Audited for sensor outages during event windows.
SRC_CWC_TEL_MN,Central Water Commission (CWC),"Ministry of Jal Shakti, Government of India",Telemetry Hourly Rainfall - Manipur (2021-2025),https://ffs.india-water.gov.in/,rainfall_tel_hr_cwc_mn_2021_2025.csv,2021-2025,2026-09-08,Point telemetry station,Hourly,2022-04-07 to 2023-12-04,Official CWC river telemetry network,data/raw/cwc_telemetry_hourly/2021_2025/rainfall_tel_hr_cwc_mn_2021_2025.csv,4187de6fc7620852b9babc1ef4ba5eec3c24ed7948d50b406dfafc2d1bf12834,Station telemetry commenced in 2022; 2021 events require GPM IMERG.
SRC_CWC_TEL_NL,Central Water Commission (CWC),"Ministry of Jal Shakti, Government of India",Telemetry Hourly Rainfall - Nagaland (2021-2025),https://ffs.india-water.gov.in/,rainfall_tel_hr_cwc_nl_2021_2025.csv,2021-2025,2026-09-08,Point (Doyang HEP station),Hourly,2021-01-21 to 2025-12-20,Official CWC river telemetry network,data/raw/cwc_telemetry_hourly/2021_2025/rainfall_tel_hr_cwc_nl_2021_2025.csv,58831c4cebcda38fa301177cb2a5d36ffe3663b7563209b82dbb02e22ed2e2dd,Covers Doyang HEP station in Wokha district.
SRC_CWC_TEL_TR,Central Water Commission (CWC),"Ministry of Jal Shakti, Government of India",Telemetry Hourly Rainfall - Tripura (2021-2025),https://ffs.india-water.gov.in/,rainfall_tel_hr_cwc_tr_2021_2025.csv,2021-2025,2026-09-08,Point (5 river telemetry hydro-met stations),Hourly,2021-01-04 to 2025-10-04,Official CWC river telemetry network,data/raw/cwc_telemetry_hourly/2021_2025/rainfall_tel_hr_cwc_tr_2021_2025.csv,9422d0bd698362ced2db48ca93da67ac2b9a644b1f7e8360e50df352c3ea38fb,"Covers Gomati, Manu, and Sepahijala stations."
SRC_NASA_GPM_IMERG,NASA / JAXA & NESAC NERDRR,NASA Goddard Space Flight Center / NESAC,GPM IMERG Late Run Precipitation L3 Half-Hourly / Daily (0.1 deg),https://gpm.nasa.gov/data/imerg,GPM_3IMERGHHL_06,2021-01-01,2026-09-08,0.1 degree (~10 km),Daily (24h antecedent accumulation),2021-01-01 to 2021-12-31,"NASA Open Science Data, extracted via NESAC automated extraction pipeline",data/raw/historical_landslide_rainfall/sources/NESAC_SR_277_2022_SLI2021.pdf,ea183dab08dec88c66093d7d1db2944b6385f21571e964d8d6e56f9d82f90523,Gridded satellite precipitation product calibrated and extracted by NESAC for each documented event card.
SRC_SENTINEL_2_MSI,European Space Agency (ESA) Copernicus,European Space Agency / European Commission,Sentinel-2 Multispectral Instrument (MSI) Level 1C & 2A,https://dataspace.copernicus.eu/,COPERNICUS/S2,2021-01-01,2026-09-08,10 m Ground Sampling Distance (GSD),5-day revisit,2021-01-01 to 2021-12-31,Copernicus Open Access Policy,Embedded satellite imagery analysis in NESAC-SR-277-2022,,Used by NESAC for optical verification of scar extent and polygon boundaries within 10km buffer.
SRC_NEWS_SHILLONG_TIMES,The Shillong Times,The Shillong Times Press,"Daily Print and Digital Archive (Meghalaya, Assam, Arunachal Pradesh)",https://theshillongtimes.com/,Daily Print & Digital News Issues 2021,2021-01-01,2026-09-08,Locality / Settlement level,Daily,2021-01-01 to 2021-12-31,Cited in NESAC Table 2 as primary newspaper source,,,"Primary incident discovery source for Meghalaya, Assam, and Arunachal Pradesh landslides."
